system:index,AOD,date,image_count,.geo
69,711.560147007974,2021-03-11,47,"{""type"":""MultiPoint"",""coordinates"":[]}"
70,869.546497529504,2021-03-12,39,"{""type"":""MultiPoint"",""coordinates"":[]}"
71,665.2960817575919,2021-03-13,39,"{""type"":""MultiPoint"",""coordinates"":[]}"
72,549.328121578569,2021-03-14,33,"{""type"":""MultiPoint"",""coordinates"":[]}"
73,1271.2360977686583,2021-03-15,34,"{""type"":""MultiPoint"",""coordinates"":[]}"
74,1407.597468570147,2021-03-16,34,"{""type"":""MultiPoint"",""coordinates"":[]}"
75,1075.5442239161857,2021-03-17,29,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,824.4908651719796,2021-03-18,28,"{""type"":""MultiPoint"",""coordinates"":[]}"
77,772.7509394301233,2021-03-19,22,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,588.3434760567181,2021-03-20,19,"{""type"":""MultiPoint"",""coordinates"":[]}"
79,821.6015562390937,2021-03-21,29,"{""type"":""MultiPoint"",""coordinates"":[]}"
80,838.4625876571433,2021-03-22,32,"{""type"":""MultiPoint"",""coordinates"":[]}"
81,800.9313427389927,2021-03-23,38,"{""type"":""MultiPoint"",""coordinates"":[]}"
82,849.7347830172992,2021-03-24,38,"{""type"":""MultiPoint"",""coordinates"":[]}"
83,568.1560740144811,2021-03-25,42,"{""type"":""MultiPoint"",""coordinates"":[]}"
84,533.9361917283264,2021-03-26,42,"{""type"":""MultiPoint"",""coordinates"":[]}"
85,633.9278612768724,2021-03-27,44,"{""type"":""MultiPoint"",""coordinates"":[]}"
86,841.1692254858988,2021-03-28,47,"{""type"":""MultiPoint"",""coordinates"":[]}"
87,653.1517565364264,2021-03-29,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
88,741.3357992036657,2021-03-30,52,"{""type"":""MultiPoint"",""coordinates"":[]}"
89,233.55753600472556,2021-03-31,56,"{""type"":""MultiPoint"",""coordinates"":[]}"
90,230.33464121284143,2021-04-01,57,"{""type"":""MultiPoint"",""coordinates"":[]}"
91,278.25059818198616,2021-04-02,62,"{""type"":""MultiPoint"",""coordinates"":[]}"
92,303.5785445021362,2021-04-03,62,"{""type"":""MultiPoint"",""coordinates"":[]}"
93,404.07394932374996,2021-04-04,62,"{""type"":""MultiPoint"",""coordinates"":[]}"
94,864.1613398479236,2021-04-05,65,"{""type"":""MultiPoint"",""coordinates"":[]}"
95,1011.0250199228805,2021-04-06,67,"{""type"":""MultiPoint"",""coordinates"":[]}"
96,944.3026849996498,2021-04-07,66,"{""type"":""MultiPoint"",""coordinates"":[]}"
97,529.3511385693092,2021-04-08,68,"{""type"":""MultiPoint"",""coordinates"":[]}"
98,291.8201190764469,2021-04-09,67,"{""type"":""MultiPoint"",""coordinates"":[]}"
99,471.59889045065313,2021-04-10,68,"{""type"":""MultiPoint"",""coordinates"":[]}"
100,534.177887580317,2021-04-11,67,"{""type"":""MultiPoint"",""coordinates"":[]}"
101,777.7696240266479,2021-04-12,67,"{""type"":""MultiPoint"",""coordinates"":[]}"
102,774.3520828920625,2021-04-13,67,"{""type"":""MultiPoint"",""coordinates"":[]}"
103,694.8188628978164,2021-04-14,67,"{""type"":""MultiPoint"",""coordinates"":[]}"
104,907.9205413861806,2021-04-15,68,"{""type"":""MultiPoint"",""coordinates"":[]}"
105,886.2361155474377,2021-04-16,67,"{""type"":""MultiPoint"",""coordinates"":[]}"
106,384.5901184972191,2021-04-17,68,"{""type"":""MultiPoint"",""coordinates"":[]}"
107,651.447612869425,2021-04-18,68,"{""type"":""MultiPoint"",""coordinates"":[]}"
108,478.80161276706235,2021-04-19,67,"{""type"":""MultiPoint"",""coordinates"":[]}"
109,815.0718013156923,2021-04-20,67,"{""type"":""MultiPoint"",""coordinates"":[]}"
110,545.7807501883051,2021-04-21,67,"{""type"":""MultiPoint"",""coordinates"":[]}"
111,530.7163094301898,2021-04-22,67,"{""type"":""MultiPoint"",""coordinates"":[]}"
112,1006.1532727500403,2021-04-23,67,"{""type"":""MultiPoint"",""coordinates"":[]}"
113,315.3765638951103,2021-04-24,68,"{""type"":""MultiPoint"",""coordinates"":[]}"
114,370.41043598230175,2021-04-25,67,"{""type"":""MultiPoint"",""coordinates"":[]}"
115,542.8698452250246,2021-04-26,68,"{""type"":""MultiPoint"",""coordinates"":[]}"
116,791.4770216046644,2021-04-27,67,"{""type"":""MultiPoint"",""coordinates"":[]}"
117,848.907341778043,2021-04-28,67,"{""type"":""MultiPoint"",""coordinates"":[]}"
118,942.2010783944296,2021-04-29,67,"{""type"":""MultiPoint"",""coordinates"":[]}"
119,1088.5389560695414,2021-04-30,67,"{""type"":""MultiPoint"",""coordinates"":[]}"
120,1043.7485272863235,2021-05-01,68,"{""type"":""MultiPoint"",""coordinates"":[]}"
121,1233.7740928203752,2021-05-02,67,"{""type"":""MultiPoint"",""coordinates"":[]}"
122,1077.680708805268,2021-05-03,68,"{""type"":""MultiPoint"",""coordinates"":[]}"
123,692.3876189403087,2021-05-04,68,"{""type"":""MultiPoint"",""coordinates"":[]}"
124,736.0654920371485,2021-05-05,67,"{""type"":""MultiPoint"",""coordinates"":[]}"
125,1014.0610731563378,2021-05-06,67,"{""type"":""MultiPoint"",""coordinates"":[]}"
126,799.8844515995812,2021-05-07,67,"{""type"":""MultiPoint"",""coordinates"":[]}"
127,874.0796274016004,2021-05-08,67,"{""type"":""MultiPoint"",""coordinates"":[]}"
128,1235.5880482172824,2021-05-09,67,"{""type"":""MultiPoint"",""coordinates"":[]}"
129,,2021-05-10,68,"{""type"":""MultiPoint"",""coordinates"":[]}"
130,619.6734410821856,2021-05-11,67,"{""type"":""MultiPoint"",""coordinates"":[]}"
131,597.9433772509619,2021-05-12,68,"{""type"":""MultiPoint"",""coordinates"":[]}"
132,681.3656718978488,2021-05-13,67,"{""type"":""MultiPoint"",""coordinates"":[]}"
133,574.292709683588,2021-05-14,67,"{""type"":""MultiPoint"",""coordinates"":[]}"
134,517.1432780767672,2021-05-15,67,"{""type"":""MultiPoint"",""coordinates"":[]}"
135,640.7224407796178,2021-05-16,67,"{""type"":""MultiPoint"",""coordinates"":[]}"
136,,2021-05-17,68,"{""type"":""MultiPoint"",""coordinates"":[]}"
137,,2021-05-18,67,"{""type"":""MultiPoint"",""coordinates"":[]}"
138,,2021-05-19,68,"{""type"":""MultiPoint"",""coordinates"":[]}"
139,2842.3302575402818,2021-05-20,68,"{""type"":""MultiPoint"",""coordinates"":[]}"
140,632.3477741677293,2021-05-21,67,"{""type"":""MultiPoint"",""coordinates"":[]}"
141,489.7717422458298,2021-05-22,67,"{""type"":""MultiPoint"",""coordinates"":[]}"
142,893.102949577131,2021-05-23,67,"{""type"":""MultiPoint"",""coordinates"":[]}"
143,470.98847194120856,2021-05-24,67,"{""type"":""MultiPoint"",""coordinates"":[]}"
144,338.4570469188292,2021-05-25,67,"{""type"":""MultiPoint"",""coordinates"":[]}"
145,481.4738744295366,2021-05-26,68,"{""type"":""MultiPoint"",""coordinates"":[]}"
146,530.7864104367521,2021-05-27,67,"{""type"":""MultiPoint"",""coordinates"":[]}"
147,427.1573763807658,2021-05-28,68,"{""type"":""MultiPoint"",""coordinates"":[]}"
148,869.2876962805954,2021-05-29,67,"{""type"":""MultiPoint"",""coordinates"":[]}"
149,740.0422405826608,2021-05-30,67,"{""type"":""MultiPoint"",""coordinates"":[]}"
150,864.0489968335448,2021-05-31,67,"{""type"":""MultiPoint"",""coordinates"":[]}"
151,832.3879116552579,2021-06-01,67,"{""type"":""MultiPoint"",""coordinates"":[]}"
152,1252.5385326830528,2021-06-02,68,"{""type"":""MultiPoint"",""coordinates"":[]}"
153,1074.8173256113175,2021-06-03,67,"{""type"":""MultiPoint"",""coordinates"":[]}"
154,1079.197500373842,2021-06-04,68,"{""type"":""MultiPoint"",""coordinates"":[]}"
155,808.7643916133649,2021-06-05,68,"{""type"":""MultiPoint"",""coordinates"":[]}"
156,664.4489398475566,2021-06-06,67,"{""type"":""MultiPoint"",""coordinates"":[]}"
157,1013.1353681919411,2021-06-07,67,"{""type"":""MultiPoint"",""coordinates"":[]}"
158,934.3681279461591,2021-06-08,67,"{""type"":""MultiPoint"",""coordinates"":[]}"
159,1312.134814494695,2021-06-09,67,"{""type"":""MultiPoint"",""coordinates"":[]}"
160,1884.2107430333774,2021-06-10,67,"{""type"":""MultiPoint"",""coordinates"":[]}"
