country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Telangana,Hyderabad,"Nacharam_TSIIC IALA, Hyderabad - TSPCB","11-09-2026 05:00:00",17.429398,78.569354,NO2,9,15,11
India,Telangana,Hyderabad,"New Malakpet, Hyderabad - TSPCB","11-09-2026 05:00:00",17.37206,78.50864,PM10,56,77,65
India,Telangana,Hyderabad,"New Malakpet, Hyderabad - TSPCB","11-09-2026 05:00:00",17.37206,78.50864,NH3,2,4,3
India,Telangana,Hyderabad,"New Malakpet, Hyderabad - TSPCB","11-09-2026 05:00:00",17.37206,78.50864,OZONE,15,18,16
India,Tripura,Agartala,"Bardowali, Agartala - Tripura SPCB","11-09-2026 05:00:00",23.8175497,91.2726974,NO2,13,13,13
India,"Uttar Pradesh",Agra,"Sector-3B Avas Vikas Colony, Agra - UPPCB","11-09-2026 05:00:00",27.19412,77.96237,PM2.5,40,123,72
India,"Uttar Pradesh",Agra,"Sector-3B Avas Vikas Colony, Agra - UPPCB","11-09-2026 05:00:00",27.19412,77.96237,PM10,57,138,96
India,"Uttar Pradesh",Agra,"Sector-3B Avas Vikas Colony, Agra - UPPCB","11-09-2026 05:00:00",27.19412,77.96237,NH3,5,6,5
India,"Uttar Pradesh",Agra,"Sector-3B Avas Vikas Colony, Agra - UPPCB","11-09-2026 05:00:00",27.19412,77.96237,OZONE,13,16,15
India,"Uttar Pradesh",Agra,"Shahjahan Garden, Agra - UPPCB","11-09-2026 05:00:00",27.169338,78.03582,NO2,24,29,26
India,"Uttar Pradesh",Lucknow,"Gomti Nagar, Lucknow - UPPCB","11-09-2026 05:00:00",26.86812,81.005119,PM10,17,47,33
India,"Uttar Pradesh",Lucknow,"Gomti Nagar, Lucknow - UPPCB","11-09-2026 05:00:00",26.86812,81.005119,NH3,NA,NA,NA
India,"Uttar Pradesh",Lucknow,"Lalbagh, Lucknow - CPCB","11-09-2026 05:00:00",26.8458805,80.9365541,PM10,35,78,53
India,"Uttar Pradesh",Lucknow,"Talkatora District Industries Center, Lucknow - CPCB","11-09-2026 05:00:00",26.83399722,80.8917361,NH3,8,18,12
India,"Uttar Pradesh",Lucknow,"Talkatora District Industries Center, Lucknow - CPCB","11-09-2026 05:00:00",26.83399722,80.8917361,SO2,1,37,16
India,"Uttar Pradesh",Lucknow,"B R Ambedkar University, Lucknow - UPPCB","11-09-2026 05:00:00",26.766433,80.927299,NO2,12,12,12
India,"Uttar Pradesh",Meerut,"Jai Bhim Nagar, Meerut - UPPCB","11-09-2026 05:00:00",28.9535882,77.7622941,PM10,43,125,97
India,"Uttar Pradesh",Meerut,"Jai Bhim Nagar, Meerut - UPPCB","11-09-2026 05:00:00",28.9535882,77.7622941,OZONE,30,45,37
India,"Uttar Pradesh",Meerut,"Ganga Nagar, Meerut - UPPCB","11-09-2026 05:00:00",28.999264,77.7590354,SO2,23,34,28
India,"Uttar Pradesh",Meerut,"MIET College, Meerut - UPPCB","11-09-2026 05:00:00",28.972677,77.641018,PM2.5,124,209,170
India,"Uttar Pradesh",Meerut,"MIET College, Meerut - UPPCB","11-09-2026 05:00:00",28.972677,77.641018,PM10,102,128,116
India,"Uttar Pradesh",Meerut,"MIET College, Meerut - UPPCB","11-09-2026 05:00:00",28.972677,77.641018,NH3,2,7,4
India,"Uttar Pradesh",Meerut,"Pallavpuram Phase 2, Meerut - UPPCB","11-09-2026 05:00:00",29.06351,77.709723,PM2.5,77,223,111
India,"Uttar Pradesh",Modinagar,"SRM University, Modinagar - UPPCB","11-09-2026 05:00:00",28.798171,77.540243,PM2.5,43,148,80
India,"Uttar Pradesh",Modinagar,"SRM University, Modinagar - UPPCB","11-09-2026 05:00:00",28.798171,77.540243,SO2,18,18,18
India,"Uttar Pradesh",Firozabad,"Vibhab Nagar, Firozabad - UPPCB","11-09-2026 05:00:00",27.1594,78.3953,CO,31,33,33
India,"Uttar Pradesh",Gajraula,"Rajanpur, Gajraula - UPPCB","11-09-2026 05:00:00",28.829109,78.248796,PM10,52,169,126
India,"Uttar Pradesh",Gajraula,"Rajanpur, Gajraula - UPPCB","11-09-2026 05:00:00",28.829109,78.248796,NO2,5,71,29
India,"Uttar Pradesh",Gajraula,"Rajanpur, Gajraula - UPPCB","11-09-2026 05:00:00",28.829109,78.248796,NH3,0,7,2
India,"Uttar Pradesh",Ghaziabad,"Ved Vihar-Loni, Ghaziabad - UPPCB","11-09-2026 05:00:00",28.739153,77.273668,PM10,115,146,127
India,"Uttar Pradesh",Ghaziabad,"Wave City, Ghaziabad - UPPCB","11-09-2026 05:00:00",28.646675,77.489049,PM10,NA,NA,NA
India,"Uttar Pradesh",Ghaziabad,"Indirapuram, Ghaziabad - UPPCB","11-09-2026 05:00:00",28.646233,77.358075,PM10,45,93,69
